EPisode;diff_expZ_0;diff_expZ_1;diff_expZ_2;diff_expZ_3;diff_Q_0;diff_Q_1;action_diff
1;0.164;0.134;0.221;0.061;11.574;8.06;1
1;0.219;0.113;0.196;0.083;9.922;6.821;0
1;0.327;0.133;0.161;0.058;9.571;7.01;0
1;0.344;0.116;0.056;0.073;4.227;3.404;0
1;0.516;0.157;0.155;0.061;8.433;6.465;0
1;0.487;0.089;0.126;0.093;9.012;7.273;0
1;0.146;0.129;0.036;0.019;0.363;0.242;0
1;0.382;0.009;0.004;0.195;6.912;6.412;0
1;0.197;0.015;0.089;0.045;1.574;1.473;0
2;0.203;0.095;0.244;0.08;10.848;7.077;1
2;0.09;0.074;0.243;0.106;8.106;4.911;0
2;0.399;0.127;0.134;0.021;8.481;6.35;0
2;0.477;0.12;0.086;0.026;6.223;4.869;0
2;0.492;0.101;0.087;0.153;7.972;6.466;0
2;0.472;0.035;0.036;0.193;6.592;5.748;0
2;0.385;0.025;0.029;0.152;7.038;6.244;0
2;0.333;0.031;0.036;0.263;8.259;7.73;0
2;0.049;0.093;0.033;0.294;10.222;9.567;0
3;0.043;0.212;0.162;0.069;11.821;9.248;0
3;0.184;0.13;0.079;0.178;2.08;0.789;0
3;0.178;0.06;0.07;0.071;4.225;3.107;0
3;0.298;0.16;0.061;0.08;7.187;6.19;0
3;0.078;0.156;0.072;0.136;3.353;2.417;0
3;0.472;0.061;0.012;0.151;3.708;3.743;0
3;0.514;0.044;0.018;0.237;7.395;6.755;0
3;0.47;0.001;0.005;0.249;7.259;6.792;0
3;0.256;0.038;0.082;0.302;7.942;7.62;0
3;0.117;0.142;0.041;0.283;9.543;8.913;0
4;0.035;0.213;0.136;0.061;9.822;7.499;0
4;0.011;0.176;0.094;0.187;5.207;3.923;0
4;0.157;0.123;0.134;0.111;7.718;5.884;0
4;0.245;0.231;0.082;0.043;9.002;7.676;0
4;0.341;0.089;0.088;0.066;5.378;4.157;0
4;0.469;0.086;0.109;0.032;3.137;2.287;0
4;0.501;0.047;0.039;0.043;4.096;3.473;0
4;0.483;0.033;0.003;0.174;7.141;6.735;0
4;0.445;0.023;0.139;0.346;3.719;4.37;0
4;0.227;0.066;0.125;0.418;8.641;8.647;0
5;0.233;0.126;0.201;0.082;10.66;7.467;1
5;0.018;0.034;0.186;0.054;4.986;2.059;1
5;0.506;0.111;0.106;0.025;5.652;3.748;0
5;0.461;0.132;0.206;0.01;9.782;6.749;0
5;0.6;0.074;0.162;0.048;3.179;0.301;0
5;0.428;0.063;0.041;0.161;7.839;6.889;0
5;0.421;0.076;0.056;0.266;9.638;8.317;0
5;0.167;0.031;0.098;0.158;2.292;3.489;0
6;0.142;0.188;0.201;0.067;11.006;7.575;0
6;0.206;0.184;0.12;0.084;9.589;7.613;0
6;0.308;0.226;0.11;0.085;9.02;7.172;0
6;0.347;0.101;0.176;0.101;6.137;4.223;0
6;0.374;0.139;0.066;0.038;6.335;5.268;0
6;0.436;0.122;0.054;0.061;7.105;6.091;0
6;0.482;0.118;0.006;0.229;7.551;7.271;0
6;0.413;0.117;0.127;0.352;4.073;3.409;0
6;0.324;0.064;0.006;0.275;8.49;7.846;0
6;0.087;0.139;0.072;0.412;11.526;11.1;0
7;0.073;0.217;0.137;0.105;8.544;6.296;0
7;0.077;0.205;0.178;0.138;9.519;7.262;0
7;0.174;0.106;0.09;0.187;3.455;2.207;0
7;0.214;0.132;0.093;0.106;7.112;5.628;0
7;0.432;0.194;0.076;0.012;6.417;5.04;0
7;0.478;0.025;0.019;0.03;2.501;2.123;0
7;0.471;0.063;0.066;0.151;7.437;6.793;0
7;0.403;0.032;0.04;0.407;5.24;5.165;0
7;0.139;0.002;0.018;0.145;5.033;4.71;0
7;0.161;0.11;0.111;0.287;9.468;8.994;0
8;0.233;0.141;0.206;0.103;10.674;7.397;1
8;0.376;0.141;0.198;0.061;10.535;7.39;1
8;0.428;0.102;0.189;0.131;6.778;3.952;1
8;0.43;0.14;0.203;0.079;7.558;4.516;0
8;0.472;0.057;0.167;0.051;9.088;6.326;0
8;0.445;0.051;0.119;0.161;10.007;7.837;0
8;0.238;0.078;0.116;0.03;0.96;0.268;0
8;0.115;0.06;0.008;0.103;3.346;3.234;0
9;0.364;0.138;0.265;0.051;9.701;5.062;1
9;0.338;0.113;0.172;0.051;9.292;6.56;1
9;0.428;0.099;0.121;0.042;7.187;5.254;0
9;0.511;0.052;0.162;0.043;7.002;4.434;0
9;0.549;0.063;0.158;0.036;8.129;5.507;0
9;0.425;0.068;0.107;0.329;10.02;8.041;0
9;0.447;0.04;0.056;0.24;8.518;7.059;0
9;0.276;0.05;0.014;0.309;8.1;7.733;0
10;0.044;0.067;0.324;0.083;8.98;5.547;0
10;0.191;0.182;0.122;0.124;8.372;6.506;0
10;0.35;0.154;0.102;0.032;8.33;6.685;0
10;0.44;0.085;0.071;0.121;2.3;1.336;0
10;0.43;0.081;0.095;0.023;6.517;4.961;0
10;0.46;0.114;0.058;0.151;8.496;7.334;0
10;0.438;0.027;0.019;0.235;6.248;6.164;0
10;0.344;0.047;0.011;0.413;5.737;5.433;0
10;0.244;0.044;0.031;0.363;9.9;9.266;0
